userName;content;score;at;appVersion
Obbi Obay212;Mantaps;5;06/07/2022 05:39;4.46.2
Leo Cruux;Jos;5;16/03/2023 23:48;4.58.1
Saras Ariska Novia;Banyak promo dan pelayanan sangat baik;5;10/03/2023 04:51;4.56.1
An Dre;Keren;5;23/03/2022 05:15;4.32.1
Nur Baiti;Ok;5;25/02/2022 12:34;4.34.1
Ferry Gunawan;Sangat membatu;5;15/07/2022 00:04;4.47.1
EAGLE_ 27;Parah udah muncul paylater 100rb Blm di pkai juga udah di Blok;2;22/01/2022 11:58;4.18.2
Joshua B'joes;Oke;5;27/02/2022 02:44;4.37.2
budi s;Praktis dan cepat;5;05/04/2022 23:38;4.40.1
CrzGaming;Hallo gojek kenapa saat saya ingin topup dan saya sedang lupa password gojek saat saya mencoba pakai sandi yang baru saya buat selalu saja gagal mohon diperbaiki ya;3;04/08/2022 10:59;4.48.1
Mazda Yurni;Makin mahal naik nya jauh amat Udah ngga like pake gojek Makin sering pakai malah makin mahal bukan nya banyak diskon;1;17/09/2023 04:54;4.74.2
Sinta triani Dewi;Baguss dehh pokoknya;5;08/04/2023 15:25;4.64.2
Praptini Dasawati;Lancar jaya suksek terus grab indonesia;5;04/03/2022 06:40;4.18.2
Sumarno Solo;Sangat membantu;5;26/02/2022 16:16;4.25.2
Afif Eratisna;Orderannya tolong jangan diikasihkan ke akun yg prioritas biar sama sama mendapatkan orderterimakasih salam satu aspal;5;05/10/2023 23:36;4.75.1
Erie Prima;membantu sekali;5;21/06/2022 13:08;4.45.1
Ibnu Mazah;Saya udah kirim otp nya tapi kok gak di kirim ke akun saya;1;09/11/2021 08:42;4.31.1
alis na;ok;4;30/05/2022 11:31;4.32.1
Ali Sadikin;Sangat membantu sekali;5;26/02/2022 11:37;4.37.2
AGAM SATRIO;Aplikasi Makin hari makin lemot mau pesen apa2 lama padahal banyak driver;3;05/07/2022 10:50;4.46.2
Labib Mumtaz;Mantap min;5;09/12/2021 04:11;4.31.1
litt Ansyah;Akses transportasi jadi mudah banyak resto dengan berbagai macam menusuka deh pokoknya;5;15/06/2022 07:06;4.45.1
ibra 85;andalan;4;07/11/2021 10:09;4.31.1
asep ardiansyah;Ok sekali deh cihuy ajah donk;5;03/12/2021 15:27;4.32.1
Satriya Furqon;Sangat membantu;5;21/03/2022 07:16;4.23.2
Adrian Hartanto;Proud to be Indonesian;5;20/09/2022 01:17;4.51.1
Ramdhoni Achmad;Sering lag ;1;28/12/2023 15:49;4.80.4
Mochamad Ramdhan;cepat respon;5;18/12/2022 23:55;4.50.1
Faisal Akbar;Masa Harga sma ongkire mahalan ongkireGila aja neh  Mau cari untung banyak apa gimana Kalo gk kebtuhn ojek online gak akan aq pasang apliksi ini Parah di Goofodny;1;25/11/2023 16:21;4.78.3
Susanti Dewi;Senang pakai gojek;5;16/02/2022 14:18;4.21.1
Sumarwan Marwan;Good App;5;28/01/2024 07:01;4.81.2
Ragil Galeri;Good;5;02/11/2022 04:15;4.54.2
Noe Keisha;Kecewa dg gopay later kemarin disuruh bayar sebelum japo tgl 29 mei dilunasi Eh Masa sekarang tgl 2 juni disuruh bayar lg dan kena denda sehari Gimana nih Jadi mending setelah japo ajj bayarnya klw tahu kek gini kek kmaren2;4;02/06/2023 04:35;4.65.2
Hamid Arryanto;Gabisa dibatalin Aplikasi eror;3;22/04/2022 10:22;4.40.1
Zulfiqar Ravi Rahman;Utk overall bagus dan saya cukup puas Oh iya minta tolong utk rating dan ulasan di gofood dikasih fitur foto sbg bukti klo produk makanannya beneran bagus atau jelek;5;05/06/2022 09:44;4.44.1
Syaepul Akbar;Transportasi yang bagus;4;27/02/2023 08:05;4.62.1
Chika Fiana adetama;Suka;5;17/11/2021 07:25;4.31.1
Ernani 123;Keren sigap banyakin diskon ya;5;01/11/2022 07:39;4.42.2
Dini Tok;Sangat membantu;5;12/11/2021 11:20;4.27.2
Siswono Cbi;tidak bisa d gunakan untuk membayar paket data dari my telkomsel;1;01/08/2023 14:38;4.71.2
Nazar Kamal;Semenjak join dengan toped jadi josssss Mnataplahhh;5;07/11/2021 08:35;4.31.1
Erwanto Nugroho;Banyak membantu;5;24/06/2023 15:01;4.68.1
free fire;Memuaskan ;5;13/02/2023 12:20;4.61.1
hardi man;Mantap;5;09/01/2022 14:10;4.34.1
Albert Alvaro;Ap lag gk jelas;1;23/12/2021 06:37;4.26.1
Anif Putra;Suka sekali banyakin promo yak ;5;26/11/2021 14:55;4.32.1
Ali Mustofa;Mantabh;5;27/03/2022 07:57;4.28.4
Andika Zuliyanto;Ok terimakasih;5;18/02/2023 15:33;4.61.1
Dian Bowo;Baguslah pokoknya;5;16/11/2023 08:00;4.78.3
Mohammed Assagaf;MAKIN BURUK Pesanan dobel bayarnya juga dobel ;1;06/10/2023 10:36;4.75.1
Nurhikmatul Fatihah;Kenapa kalo order gojek itu lamaaaa banget dapet drivernya Padahal saya order tanpa voucherpromo apapun Padahal di aplikasi ada beberapa gambar driver yang nongol tapi pada kagak mau ngambil Kalo emang gak butuh penumpang kenapa jadi driver Tolong lebih di tingkatkan lagi pelayanannya agar konsumen tidak pindah ke aplikasi lain;2;16/12/2021 05:30;4.33.1
Sumini Encum;Tidakk menunggu terlalu lama;5;14/08/2023 03:44;4.72.1
Bayu Aryanto;Susah mendapatkan driver saat pesan makanan;2;13/08/2022 11:46;4.49.2
Donvavianda Lavigne;Mau make aplikasi nya aja ribet banget Pake nomor gak terdaftar Email udah kepake malah di putergak jelas;1;23/04/2022 15:28;4.25.2
Agus Gusmayadi S;Mantaap ;5;03/05/2023 07:38;4.66.1
Suardi Adi;Mantap;5;12/06/2023 06:13;4.68.1
Rasidin mamak_idin;selali kasih diskon;5;09/12/2022 11:46;4.55.2
Alifani Amar Al-Hafizh;Sangat bagus Selalu tingkatkan kualitas dan kuantitasnya Semangat;5;24/12/2023 14:28;4.75.1
Yogi Saputra;Mantap;4;18/01/2023 17:12;4.57.1
Budi Mulyadi;Good job;5;24/12/2022 00:34;4.58.1
Akbar Raizo;Biaya makanan mahal2 sekali ketika masuk ke dalam aplikasi Trus ga bisa download resi dalam bentuk PDF dikirim ke email dan ga bisa di download;1;07/09/2023 05:13;4.73.1
Harmin Min;Sangat bagus ;5;18/01/2022 19:19;4.35.1
Nadya Ulya;Baik;5;06/11/2021 13:36;4.10.3
Supendi Supendi;Good job gojek;5;17/06/2022 12:09;4.45.1
Lovian Handoyo;The best;5;06/07/2023 10:50;4.67.2
Dani Nuransah;Memudahkan setiap perjalannan;4;30/11/2021 12:04;4.32.1
Morby Ageng;TOPUP LAMAAA GW MAU BAYAR INDIHOME TENGGAT WAKTU TGL 20 TOPUP PROSES 2X24JAM MIKIRRRR KENA DENDA INDIHOME SERVER WARNET LOADING LAMAAAA;1;20/12/2021 12:51;4.34.1
Lida Halidah;Goclub PHP ngk jelas;1;12/08/2022 01:51;4.49.2
Bee;Memudahkan working mom kmn aja dan makan apapun;5;09/09/2023 06:13;4.71.2
DEDY ESPE;Love this apps;5;28/06/2022 03:36;4.43.3
Mahayuda M.;Gojek kntl org mau verifikasi rek bank gabisa trs katanya kebanyakan verifikasi org baru sekali juga mana diburu waktu mau transfer jadi telat gaguna dah gitu alamat patokan antara titik lokasi ama alamat yg tertera dilempar jauh di gofood jengkelin orang lagi lapar jdi emosi gegara lama nungguin alamat dilempar gajelas ama gojek asu;1;25/11/2023 13:20;4.78.3
Mul Yadi;Aplikasi susah d buka;5;09/04/2022 07:55;4.40.1
Maksi liufeto;Tq pengiriman barang cpat drivernya ramah;5;30/11/2021 11:49;4.32.1
c fariski;mau nanya kenapa go pinjem saya hilang dari mene;5;02/01/2024 13:27;4.80.4
muhamad alfarizki ridiana;Good;5;02/07/2023 12:51;4.62.2
Ade Putra wicaksono;Sangat membantu;5;13/08/2022 04:07;4.49.2
Muryane Shi;Kualitas pembelian gofood via online menurun tajam alasan customer karena sudah tidak bisa double voucher lagi dan hal tsb sangat berpengaruh besar terhadap penjualan kami Semoga kebijakan gojek dapat membantu kami selaku UMKM yg sangat bergantung terhadap penjualan via online Terima kasih;4;21/11/2022 11:34;4.17.2
iwan syahputra;Mantap;5;24/11/2021 11:25;4.32.1
Sugeng Riyadi1234;good jobs;5;30/10/2023 12:13;4.77.1
Rizki Maulana;Percuma ada diskon setiap mau pesen selalu ada notifikasi resto ini lagi sepi driver coba cari resto lain Dan setelah gantiganti resto tetap sama;1;18/11/2021 00:08;4.32.1
Prapto Bogor;Iklanya muncul terus;2;20/10/2023 11:12;4.75.1
Hendro Gusmawan;Sangat bagus dan mempermudah perjalanan tidak ribet pengggunaannya banyak promo yang menarik proses pembayaran simple seru pokoknya;5;18/11/2022 15:20;4.55.2
Agung Wahyudi;Mantap;5;15/02/2023 13:10;4.51.1
Yunia Alfiati;oppppppppppoi;1;14/02/2022 12:56;4.35.1
Nelson hutagaol;Baguss;5;19/11/2022 19:11;4.54.2
Ahmad mustaslim Ashsh;Lag banget sampah;1;08/01/2023 17:09;4.58.1
Thirty One;Mantappp;5;10/11/2021 16:01;4.31.1
Marsony Elang;mantap;5;23/02/2022 12:53;4.36.1
1001 HOBI&GAME;Gopay later apaan inidenda terlambat sehari 50Kmau jadi lintah darat luuudah di bayar habis tu malah gak bisa di pake lagigak ada pilihan pembayaran pake gopay laterjauh lebih bagus apk dan sistem yg duluuntuk apk dan sistem skrng mohon maaf bintang 1 ajagak lebih;1;02/11/2023 14:20;4.77.2
Edelweiss Nemo;Mau ambil saldo susahnya minta ampun Verifikasi aja tombolnya muter2 dari kemarin ngulang mulu Aplikasinya makin lemot bikin ngelag padahal sinyal lagi bagus Udah ngabisin memori hp masih tetep jelek;1;28/08/2022 05:49;4.50.1
Yoga Fahirta;The best;5;07/01/2024 12:36;4.80.4
FAQIH ALDI;Gojek mantul;5;12/04/2022 17:25;4.36.1
Eva siasbak;Mau pesenin gojek buat temen aja gak ketemu terus alamat nya di maps aja ada alamat nya masa pake gojek gak ada kalo gini mah gak bakal pake apk ojol lagi;1;06/08/2022 04:26;4.48.1
Tatan Rohendi Argo Lawu;baik;5;25/02/2022 16:05;4.34.1
Maura Putri;Ya Allah gini amat ya skrng di gojek On bid dri pagi sampe sore Seharian kadang di kasih cma 12 doang Padahal posisi sy di zoona byk order seperti di pasar pagi Glodok Mangga dua Ttp saja orderan sepi Pusing jangankan buat bayar kontrakan yg SDH nunggak buat makan kluarga sehari hari nya susah dn keluarga sy kelaparan anak anak mau jajan gk ada uang kadang sy sedih dan menangis tolong sy dong sy harus bagai mana;5;26/01/2023 06:42;4.59.1
Faisal Adnan;Puassssssssssssss;5;10/06/2023 15:26;4.68.1
Rizky Pernandaa;Woy gojek pelanan lu jelek banget sih gueo login ke akun gojek gue yg lama bermasalah mulu berhari saldo gue banyakkk woyyyy kpaan servernya bener najiss;2;07/12/2021 09:23;4.33.1
Seli Kurniati;lebih baik;5;09/01/2023 23:40;4.58.1
Sri Celsi;Mantap;5;19/02/2022 20:51;4.36.1
andi ernawati;Sangat membantu dalam kehidupan seharihari;5;01/07/2022 15:46;4.45.1
Isam Isamsemi;Sangat membantu saya banget;5;13/09/2023 09:13;4.74.2
Teng Tong;saya kasi bintang 3;3;06/05/2022 02:27;4.42.2
Sandes hariansyah;Mantap;5;11/12/2022 07:46;4.57.1
Naila Ayu727;Mantappselalu beri yg terbaik utk situasi yg dibutuhkan;5;13/12/2023 14:19;4.79.2
Firmatus Hia;banyak biayanya;3;07/09/2023 16:42;4.71.3
Tiurlina Hutagalung;Mantul;5;28/02/2022 04:39;4.32.1
Dendy Taufiq;One for Alll  All for OneGojek Gopay Oke Banget;5;14/09/2023 11:27;4.74.2
hendra buchari;Sangat membantu aplikasi anak bangsa wajib kt dukung ;5;22/06/2022 17:46;4.45.1
Ponimin;Ok;5;26/01/2023 10:13;4.59.1
Ninis Mundisari;Good;4;10/06/2022 08:32;4.44.1
Bigprivate Indonesia;mantab;5;24/07/2023 03:37;4.68.1
Prayoga Tri Priyambodo;Sukses terus dan tetap amanah terhadap pegawai;5;07/06/2022 04:22;4.44.1
Yajid Bastomi;GoTo ;5;01/05/2023 11:36;4.66.1
reiza fahlevi;Good app;5;22/06/2022 12:26;4.45.1
Ridho Akmal Febriansyah;Mantap jonn;5;13/02/2022 13:44;4.32.1
alodia neysa;Layanan gofood CSnya jelek entah ini bugs atau gimana saya gabisa chat langsung dgn CS hanya bisa bls melalui pesan cepat saja;2;13/11/2021 07:49;4.31.1
simp Kittie;aplikasi tlol ktol pengantaran tepat waktu 3 menit bapak kau 3 menit udh kaya 10 menit gausah bohong gt bego;1;16/12/2023 15:12;4.79.2
Vahuda Vahuda;Sangat bagus;5;09/12/2021 10:44;4.32.1
Deden Irawan;Ok;5;28/02/2022 09:52;4.34.1
TAUPIK HIDAYAT;Ok;5;10/12/2021 16:26;4.33.1
Nopriyadi nopri;Ok;5;19/02/2022 05:42;4.36.1
Yuniarto Narto;Good;5;06/09/2023 12:23;4.74.1
Mimik Enak;Harganya semakin Mahal aplikasi sebelah lebih murah;4;22/06/2023 14:22;4.67.2
Muksin Aslim;Drivernya ramah;5;08/02/2023 22:16;4.60.1
Dedi Wahyu;Tarip ny mkin mahal apliks ny mkin berat;1;15/07/2022 22:47;4.27.1
Muhamad Rafly Al Ghifari;Klo bisa sering kasih voucher diskon min3;5;08/11/2021 06:14;4.31.1
elia mustikasari;Sangat membantu tp jangan kemahalan ongkos aplikasi per transaksinya boss ;5;30/07/2022 04:00;4.48.1
Miftakhur Rokhman;Aplikasi terlalu berat;4;01/03/2022 05:34;4.34.1
Oka Daday;Loadingnya lama semakin kesini semakin lemot Tawaran voucher gofoodnya juga terbatas gofoodnya rata2 mahal ditambah lagi ongkir dan biaya aplikasinya;1;25/01/2023 11:05;4.59.1
Nur Hadi;No komen;1;20/03/2023 02:14;4.63.2
Meireza Maulana;Kenapa gk bisa top up gopay d Indomaret Udh nyoba lewat tokped jg gk bisa padahal dlu saya pernah nyoba bisa;3;23/07/2022 01:23;4.47.1
G2;APA YG DI APDATE GA ADA PERUBAHAN CUMA MAKIN GEDE AJA UKURAN APLIKASI MANA GA PERNAH ADA VOCER LAGI PELIT SKRG GOJEK;1;08/04/2022 05:55;4.37.2
Yulius Wiri;Awalnya cuma bisa masuk kemudian loading terus saya updata tidak ada perubahan saya uninstall kemudian download lagi malah saat masukan nomer saja sudah loading terus Sinyal sangat bagus tapi tidak bisa terbuka apk nya;1;11/03/2023 01:24;4.62.2
yanny wati;Sangat membantu;5;22/06/2022 11:30;4.39.2
Disti Pradita Sari;Aplikasi gak gunasaldo gua di ambil aplikasi GOJEK Gk bertanggungjawab Aplikasi macam takaplikasi pencuri;1;02/06/2023 04:44;4.64.2
Lannywati Patah;Aplikasi mudah penggunaannya;5;25/07/2022 08:47;4.48.1
Yanto Wulan;Kenapa pas masuk harus masukin pin gopay trus;1;15/08/2022 13:02;4.49.2
Thalita Annora;Aplikasinya bagus banget wajib di download sih;5;11/03/2022 00:00;4.39.1
Suhusmanay Sport;Kak mau tanya dong saya kan pengguna lama gojek dan nomor nya pake nomor yang lama dan gak aktif sedangkan di aplikasi itu ada tanggungan gimana solusinya ya kak Terimakasih;5;01/03/2022 09:24;4.38.2
Fery Setiawan;Efektif transportasi;5;17/12/2022 04:24;4.57.1
Kang Soza;Mantap;5;15/05/2023 08:13;4.66.1
Nabil Dzulfiqar;Tingkatkan pelayanan dan saya ingin cepattepat waktu dan nyaman;5;12/09/2023 15:07;4.74.2
intaniar avalentia;Harga pemesanan semakin mahal;2;13/06/2022 00:02;4.39.2
Patricia Lorraine;Good banyak discount;5;28/12/2023 03:23;4.80.2
Tepos Gaming;Ya Allah semoga keterima Gojek;5;05/06/2022 15:09;4.38.2
Yon Setiono;Sayangnya belum support kartu debit BRI ditautkan 3X gagal terus dengan alasan nomor CVV salah;1;10/07/2022 05:24;4.47.1
Aji Wibowo;Lumayannn;3;21/12/2021 03:09;4.34.1
Aww Jee;Terlalu mahal untuk ongkir GOFOOD NYA Apalagi ada biaya admin nya gila cuma ngirim makan aja gitu banget;1;26/01/2023 08:15;4.59.1
Yoni Sutanto;Sangat membantu;5;02/08/2022 10:38;4.41.1
Ismiaty;Please lah udah top up gopay banyak tapi akun gak bisa dibuka dah beberapa hari cm loading aja smua gak bs diakses mau itu gofoodcek saldo dllcoba di uninstal tapi mau login lagi pake no hp lelet muter2 teruspdhl udah update otomatis tp malah kacau bgni gmana sih ini jadi malas gw mau pake aplikasi dah sering kyk gni lo loading2 dan error;1;09/01/2022 15:15;4.34.1
liya santiko;Baik;5;24/11/2021 09:08;4.32.1
ryo andika;Kami ngasi bintang  Bagi kami sangat membantu sejak ada aplikasi chastamer gojek pengen gofood apa aja tinggal pencet tunggu berapa menit sudah hadir pesanan mantab  Gojek semoga succes selalu ;5;13/12/2022 12:20;4.57.1
Nessa Miko;Respon cs nya lamakeburu kiamat duluan;1;07/04/2022 04:21;4.36.1
Ainy Noey;makin kesini makin parah potongan driver lebih dari 20 persenorderan Susahdi customer ongkos Mahal tp ke driver murah orderan susah;1;21/07/2023 15:36;4.70.1
Nuzul 01;Kok transfer uang sya tanggal 10122021 belum di proses Gimana nih;2;12/12/2021 15:02;4.33.1
feto kurniawan;Good job;5;05/12/2021 14:40;4.32.1
Handoyo Wsb;Aplikasi ini bagus;5;07/09/2022 12:34;4.51.1
Laiyadi;Maantaaap;5;01/05/2022 02:40;4.42.2
Titra Tamara;Kenapa akun jadi menghilang pas nyoba login masukin no hp katanya belum terdaftar padahal sudah lama pakai no hp yg sama Dan setelah mencoba daftar lg jadi otomatis akun baru padahal aku punya akun itu udah beberapa tahun;3;16/08/2022 08:50;4.49.2
Ida Herman;Baik;5;04/03/2022 06:27;4.30.1
Chubpank Project;Payleter turun banget Ga bisa di gunakan Balikin sistem yg dl aja;1;30/12/2023 22:22;4.80.4
alwiyaaah;apaan banget dah biaya jasa apk sampe 14500 ga ngotak;1;08/08/2023 04:06;4.65.2
Meyrna Sari;Seharusnya promo grabbike lebih banyak krn saya lebih sering pakai grab bike;4;15/12/2022 12:45;4.57.1
Suliha;Ada gojek membantu sekali banyak voucher ongkir juga murah ada moode hemat untuk gofood;5;17/12/2023 14:16;4.80.2
Desi Alfiah;Terbaiqq;5;27/09/2023 07:20;4.75.1
Diah Ayu;Bagus;5;28/01/2022 18:19;4.17.1
Wardiman;Lah pea GK bisa pesen oderan Di hapus data malah GK bisa masuk;1;05/11/2023 03:42;4.77.2
Erni Oktaviyani;Mantap bgd;5;13/02/2022 01:43;4.36.1
Yusran Ajiz;Nyaman bersama apk gojek;5;30/01/2022 21:55;4.36.1
Eko Wahyu;Mantaplebih mudah karena banyak drivernya;5;30/12/2022 12:04;4.58.1
Tiara Desli;Aplikasinya jelek ngasih promo tapi malah di bikin akunnya sakit di email malah bilangnya ada aktivitas mencurigakan de ilah emang saya ngapain jajan gofood juga normal2 aja sekalian orang mah jangan di kasih voucher diskon kalo malah buat akunnya ga bisa ngapa2in lagi jelek bgt sumpah;1;30/05/2022 15:18;4.43.3
nur rohmah;Sangat mempermudah dalam bertransaksi dan banyak diskon;5;28/04/2022 11:58;4.42.2
ifkar munaja;Bagus dan sangat membantu;4;30/09/2022 11:38;4.52.2
Abd Rohim jebber;Kenapa tidak bisa ganti nomor;5;21/01/2022 05:32;4.35.1
Sri Setia Budiati;Tertinggal HP di GoCar tp tidak ada solusi buka tiket lsg ditutup telp ke CS dimatiin;1;23/01/2022 08:18;4.35.1
juman toro;Dendanya di gopay tokopedia sangat sadis 1 hari 100 sangat fantastisss;1;02/08/2023 08:46;4.46.2
Riris Pasaribu;Salut dengan driver gojek Andika Pahrul Rozi usaha keras bertemu penerima sampai larut malam walau akhirnya gagal bertemu namun usahanya gigih dan sangat responsif Succes buat mas driver dan gojek secara umum;5;19/10/2023 09:08;4.76.2
Galih ramadhan;Saya sangat puas dalam pengunaan diaplikasi gopay ini sangat membantu skli;5;13/07/2022 12:20;4.47.1
Leo Dolok;Siiiiip;5;27/01/2024 03:01;4.81.2
Satrio Stmoritz;Majuuu teruuuuus gojeeek;5;28/04/2023 14:25;4.65.2
Extiya Triyanita;Sekarang apk Gojek kurang memuaskan Sering banget ga dapet driver waktu mesen makan atau mau gojek padahal jam belum malem malem banget Udh dicoba ganti resto ganti jam order tapi tetep sama aja Tolong buat always perhatiin kualitas ya;2;13/07/2022 12:38;4.47.1
Jumono Lingga;Ok;5;09/04/2022 03:30;4.40.1
Ng liong Piaw;Good apps awesome;5;10/08/2023 23:20;4.72.1
live football;Ramah trimakasih;5;02/04/2022 04:02;4.40.1
Raka Pramana;Good;5;14/03/2022 04:01;4.38.2
Dwi Damaryati;Sangat memuaskan;5;10/12/2022 13:52;4.57.1
Sangadjie Ari;Sangat membantuexcellent;5;23/06/2022 05:47;4.45.1
Azhar Budianto;Menyenangkan;5;06/12/2021 21:26;4.30.1
Askhabul Zadid;Pelayanan sangat bagus ;5;29/07/2022 10:44;4.38.2
Hery;Ok;5;28/12/2022 14:15;4.57.1
A Supriyadi;gojek terlalu bnyak aplikasi include internal kadang lemot chat driver aplikasi bisa di baca pelanggan 15 20 mnit setelah driver kirim pesa;5;25/12/2023 13:10;4.80.3
Kata kuri;Makin buruk;1;13/01/2023 11:11;4.59.1
Fatah Djanusman Cusuma;Gojek emang ok bs berfungsi berbagai macam transaksi Thx Gojek;4;25/09/2022 04:32;4.52.2
dian yuliani;Keren;5;17/03/2023 04:17;4.63.2
Zhian Septian;Good;4;12/12/2022 09:50;4.57.1
Shofwan Habibi;saya tunggu top up menggunakan metode gopay later;3;05/04/2023 06:11;4.64.2
Dedi Bertoni;Mantap;5;19/05/2023 14:04;4.66.1
Hedy Halim;M a n t a b;5;05/12/2021 10:48;4.31.1
Abdul Cholik;Auto;1;19/10/2022 14:04;4.50.1
REZA;Pesanan ny lama bgt saya jdi sering terlambat;1;30/01/2024 23:22;4.81.2
Sugi Yanto;Terimakasih udah sangat menbantu;5;12/08/2022 09:55;4.42.2
Moch Zaenal arifin;Bagus;5;08/11/2021 13:13;4.31.1
hara dina;Mantap;5;29/08/2023 23:05;4.73.1
Sofyan jr17 Ayub;Gopay gua di blokir udh ada 3 Minggu sampai sekarang ga di buka buka trus gimana bisa bayar gopaylater nya;3;01/09/2023 03:45;4.72.1
Iqo Matu Zaitun;Saldo gopay customer saya hangus ketika sistem update gopartner terbaru Kembalikan sistem gopay dulu pisahkan lagi antara gopay driver dan customer;1;25/01/2024 04:09;4.80.4
RIZKY 1;Bagus;5;25/02/2022 12:03;4.34.1
Nasirin 30;kenapa driver sibuk terussusah cari pesanan di area cikeas;1;27/03/2022 14:23;4.36.1
Nuril Fitri (Pipit);Bisa kenyang;5;08/03/2022 17:08;4.39.1
Dian Riwan;Yaaaa Okelah;5;28/12/2021 05:42;4.34.1
Su Lestari;Kok tumben2an mapnya ga bener mana lokasi driverny ga da lagi;4;26/11/2022 00:22;4.55.2
Catur Cari Putra Oktovian;Bang mau ga nganter sapu lidi;5;16/08/2023 00:14;4.72.1
Nararya Nararya;Top kerrrrrrrreeeen;5;25/12/2021 04:31;4.34.1
Devi Monicasari;Saya isi saldu gopay gk masuk udah 4hari kerja;1;29/08/2023 22:44;4.73.1
Reno Mobile;Bagus;5;01/02/2023 11:59;4.49.2
Zarmatini;Mudah dan baik;5;16/01/2024 06:31;4.81.1
Wahyu Mdn;Sanggat membantu banghet ;5;14/03/2022 23:36;4.37.2
Suratmin Yamik;recomended;5;05/09/2022 01:17;4.45.1
Ino Wedu;Bagus;5;14/04/2023 08:52;4.32.1
Rona; Firmanto;Godd job;5;04/08/2022 10:10
Bestmeat Semolowaru;Pengantaran cepat;5;14/01/2023 08:00;4.54.2
Tauruz Jojo;Kenapa sekarang susah ya buat masuk ke aplikasi nya Mau pesen makanan atau pun gojek nya lama banget n lemot padahal sinyal penuh dan kuat Nonton youtube lancar dan no buffering tapi buka gojek bilang nya internet gak ada Hadehhh gimana nih gojek Dr bintang 5 ke bintang dulu deh;3;17/08/2023 07:49;4.72.1
Dwi Rivaldo;Bagus;5;14/11/2021 05:14;4.29.1
Andrewasmara Joezan;joseee;5;29/01/2024 05:55;4.81.2
Budi yani;Gojek tetap yg terbaik saran kalau bs ambil drivernya jangan terlalu kejauhan kasihan;5;16/11/2021 00:15;4.31.1
Putri Leony;Akhir2 ini sering banget aplikasi tegang nggk jelas eror2  trus lngsung keluar ;2;06/12/2021 08:08;4.30.1
Panji Setiawan;Mantap;5;15/02/2023 09:43;4.60.1
HASANUDDIN MALLINGKAI (Acho');Ga nyusahin;5;01/12/2022 07:31;4.56.1
Sukma Veni;Terima kasih sudah menemani di setiap perjalanan Q ;5;31/12/2021 13:49;4.34.1
M. Dhian Radwiyanto;terus tingkatkan pelayanan nya biar jadi pilihan utama pelanggan;5;15/04/2023 12:02;4.65.2
Deajeng Arum;Tolong diperbaikipelunasan gopaylater bisa pakai gopaykalo atm ada yg nggk punya dan mempersulit untuk melunasinya tolong di perbaiki;1;16/08/2023 16:55;4.72.1
Juju Junaedi;Top;5;08/04/2022 00:39;4.40.1
Rosiana Yudha Trisna;Good;5;04/12/2022 02:23;4.56.1
Monster Gaming;Tolong seperti dulu lagi update nya buruk;1;17/04/2022 22:43;4.41.1
bsgusoka dwiarcanall;Suka dengan gojeknya selama perjalanan terkadang dpt driver yg ramah agak ngebut bawa kendaraan dan juga dapat driver yg bisa diajak ngobrol wiih seru dapat driver kayak begitu;5;03/11/2023 23:41;4.77.1
Winda Ramadhani;Baguss;5;20/02/2023 10:22;4.61.1
Ujang Hafid;Sangat membantu;5;10/09/2022 06:37;4.47.1
Riyan Lampung;Gojek sangat lah membantu;5;22/10/2023 01:25;4.77.1
Ibn Cyborgz;Update terbaru emang sengaja ya supaya voucher promonya hanya satu yang bisa digunakan Sangat kecewa sih karena saya cukup sering beli gofood Kalau emang ini keputusan kalian saya akan berhenti memakai gojek bukan hanya saya pastinya Ya pokoknya kecewa min jawabannya kayak bot saja setelah gopay habis saya akan uninstall dan pindah ke merchant lain terimakasih untuk 5 tahunnya;1;20/08/2022 05:50;4.49.2
icus Jnonk;best;3;27/03/2022 16:10;4.40.1
Dedem Mulyadin;Mantab;5;17/01/2024 13:01;4.81.1
Sumarah Sumarah;Kok akhirakhir ini saya sudah top up gopay Gopay masuk tapi kemudian hilang lagi Padahal belum saya pakai Ribet banget;3;21/04/2022 21:13;4.41.1
Agung Wiartawan;Baik;5;19/08/2022 08:52;4.50.1
Masbhe22 Z;Pihak gokek terlalu berteletele atas penanganan permasalahan saya Perkiraan pihak gojek sangat merugikan saya Membuat saya malu Saya harap rekan2 diluar sana tau;1;30/06/2023 02:30;4.69.1
Ol;s Holis;Mantaff;5;03/12/2021 14:19
Khoirul Anas;Sangat membantu;5;05/12/2022 00:14;4.57.1
Kristina Wati;Baik;5;17/01/2022 02:23;4.30.1
John Heru;great apps;5;03/08/2022 08:55;4.48.1
nuzul lubis;Mantap;5;10/03/2022 15:12;4.38.2
ichwan aventureros;Mantab;5;29/01/2024 16:14;4.81.2
Na Kirana;selama ini puas banget dengan pelayanan aplikasi ini juga CS nya yang tanggap dan cekatan menangani tiap masalah konsumen nya terimakasih Gojek  maju terus sukses terus;5;28/11/2022 11:18;4.56.1
Arifin kopen;Mantap;5;21/06/2022 03:46;4.45.1
Sam Sung;Bagus ;5;01/08/2022 11:33;4.48.1
Anwar Aweng;Sangat membantu;4;03/04/2023 16:13;4.64.2
Lestari Hermin;Driver food nya ramah diantar sampai depan rumah Padahal msk di gang buntu Mkasih mas fakhrul ivan;5;11/12/2021 13:36;4.28.4
Juni Supraedi;Mantap;5;18/07/2022 05:23;4.46.2
